,ticker,entry_date,exit_date,entry_price,exit_price,pnl,return_pct,reason,days_held
47,CHRW,2025-01-03,2025-01-30,102.19733428955078,97.46125968739801,-179.97083488180522,-0.04634244753130524,Stop Loss,27
48,ABBV,2024-11-22,2025-02-03,170.97183227539062,185.44871520996094,332.9683074951172,0.08467408193445493,Target 8%,73
49,PAYC,2025-01-02,2025-02-03,199.96768188476562,201.9673587036133,33.994505920410234,0.010000000000000023,Stop Loss,32
50,AAPL,2025-01-23,2025-02-03,222.6529998779297,224.879529876709,40.07753997802763,0.010000000000000071,Stop Loss,11
51,ROST,2025-01-27,2025-02-03,144.4075927734375,145.8516687011719,37.545974121094105,0.010000000000000094,Stop Loss,7
52,KR,2025-01-24,2025-02-04,57.531272888183594,62.70615005493164,419.1650505065918,0.08994894266994256,Target 8%,11
53,EXPE,2025-02-05,2025-02-07,168.3709259033203,200.7495574951172,841.8444213867188,0.19230536043015464,Target 8%,2
54,EOG,2025-02-03,2025-02-13,123.04395294189453,124.27439247131348,23.37835105895995,0.009999999999999995,Stop Loss,10
55,DECK,2025-02-04,2025-02-19,169.49000549316406,152.54100494384767,-254.23500823974592,-0.09999999999999994,Stop Loss,15
56,CPRT,2025-01-02,2025-02-21,56.31999969482422,56.88319969177246,34.35519981384277,0.01,Stop Loss,50
57,FICO,2025-02-05,2025-02-21,1847.800048828125,1694.5386439732142,-306.52280970982156,-0.08294263491989254,Stop Loss,16
58,JBHT,2025-02-05,2025-02-25,168.52076721191406,159.47875056680323,-253.17646606310336,-0.05365520697956793,Stop Loss,20
59,PYPL,2025-02-07,2025-02-27,77.1316909790039,71.43998794676958,-267.5100425150135,-0.07379201674424166,Stop Loss,20
60,GOOG,2025-02-25,2025-03-03,176.6821746826172,167.13790847454246,-219.51812278571882,-0.05401940645806269,Stop Loss,6
61,BX,2025-02-13,2025-03-04,157.00001525878906,144.91785673894063,-289.9718044763624,-0.0769564162139281,Stop Loss,19
62,PNR,2025-02-21,2025-03-04,92.22631072998047,87.26470289120395,-198.46431355106063,-0.05379818188003937,Stop Loss,11
63,OKE,2025-02-04,2025-03-05,93.15646362304688,87.66744949307424,-236.02760758882312,-0.058922525786118944,Stop Loss,29
64,DIS,2025-01-16,2025-03-06,105.29552459716797,106.34847984313964,40.01229934692361,0.009999999999999946,Stop Loss,49
65,ARES,2025-02-25,2025-03-06,162.86065673828125,151.167559617636,-268.94123377484107,-0.07179817001128878,Stop Loss,9
66,PKG,2025-02-03,2025-03-10,206.07192993164062,195.69976907119292,-114.09376946492478,-0.05033272054029105,Stop Loss,35
67,JBL,2025-03-04,2025-03-10,141.38400268554688,132.22604360136637,-219.7910180203321,-0.0647736583363592,Stop Loss,6
68,AMZN,2025-03-04,2025-03-10,203.8000030517578,190.85286385672433,-220.10136631556927,-0.06352865064356933,Stop Loss,6
69,FFIV,2025-03-05,2025-03-10,282.7300109863281,267.59143502371654,-211.94006347656216,-0.053544283855114456,Stop Loss,5
